artist_name,main_genre,genre_source
Gracie Abrams,pop,musicbrainz
Griff,singer-songwriter,musicbrainz
Gucci Mane,rap,musicbrainz
Gunna,trap,musicbrainz
H.E.R.,soul,musicbrainz
HAIM,rock,musicbrainz
HE4D W0LF,unknown,none
HOTT MT,Group,musicbrainz
HS87,Group,musicbrainz
Haleek Maul,Person,musicbrainz
Halsey,rock,musicbrainz
Hamish Bowles,unknown,none
Hammock,electronic,musicbrainz
Harmony Boyd,unknown,none
Harper’s Bazaar,unknown,none
Hassan Khaffaf,Person,musicbrainz
Hayley Williams,rock,musicbrainz
Hazakim,Group,musicbrainz
Helado Negro,indie rock,musicbrainz
Henry Rollins,comedy,musicbrainz
Hit-Boy,hip hop,musicbrainz
Hope Waidley,Person,musicbrainz
Hustle Gang,hip-hop,musicbrainz
IDRIS,jazz,musicbrainz
IShowSpeed,hip hop,musicbrainz
Ibrahim Hariri,unknown,none
Ilsey,Person,musicbrainz
Imelda May,rock,musicbrainz
Infamous Syndicate,Group,musicbrainz
Iqbooster,unknown,none
Isaac Brock,american,musicbrainz
J Mascis,singer-songwriter,musicbrainz
J. Cole,rap,musicbrainz
J. Ivy,Person,musicbrainz
J.Lauryn,unknown,none
