artist_name,main_genre,genre_source
Philip Bailey,soul,musicbrainz
Philly Swain,Person,musicbrainz
Phoebe Bridgers,folk,musicbrainz
Pistol Annies,country,musicbrainz
Pitchwafuzz,unknown,none
Playboi Carti,rap,musicbrainz
Please Don’t Destroy,saturday night live,musicbrainz
Pop Smoke,rap,musicbrainz
PopLord,Person,musicbrainz
Popcaan,dancehall,musicbrainz
Post Malone,hip hop,musicbrainz
Prefuse 73,dance and electronica,musicbrainz
Preme,Person,musicbrainz
Prynce Geno,unknown,none
Punch Brothers,classical,musicbrainz
Puscifer,rock,musicbrainz
Pusha T,hip hop,musicbrainz
Q-Tip,hip hop,musicbrainz
Quality Control,Group,musicbrainz
Quavo,trap,musicbrainz
Quentin Miller,Person,musicbrainz
ROLE MODEL,pop,musicbrainz
ROSALÍA,pop,musicbrainz
RZA,hip hop,musicbrainz
Rae Sremmurd,pop rap,musicbrainz
Raekwon,hip hop,musicbrainz
Raf Simons,unknown,none
Ragz Originale,Group,musicbrainz
Raydon,Person,musicbrainz
Real Late with Peter Rosenberg,unknown,none
Really Doe,Person,musicbrainz
Reggie Watts,neo soul,musicbrainz
Rell,soul,musicbrainz
Rex Orange County,bedroom pop,musicbrainz
Rhona Hoffman,unknown,none
Rhymefest,hip hop,musicbrainz
Rich Homie Quan,trap,musicbrainz
Rich Kidz,Group,musicbrainz
Rich The Kid,hip hop,musicbrainz
Rick James,rock,musicbrainz
Rick Ross,trap rap,musicbrainz
Ricky Skaggs,folk,musicbrainz
Rihanna,pop,musicbrainz
Rina Sawayama,rock,musicbrainz
River Tiber,Person,musicbrainz
Rob Adcock,unknown,none
Rob Moose,Person,musicbrainz
Rob49,Person,musicbrainz
Robert Henrik Williams Jr.,unknown,none
Robin Schulz,electronic,musicbrainz
Rockie Fresh,hip hop,musicbrainz
Roddy Ricch,rap,musicbrainz
Rokia Koné,Person,musicbrainz
Rolling Stone,unknown,none
Rooga,Person,musicbrainz
Rosanne Cash,folk,musicbrainz
Ross Gay,Person,musicbrainz
Ry Cooder,film soundtrack,musicbrainz
Ryan Breaux,unknown,none
Ryan Leslie,hip hop rnb and dance hall,musicbrainz
Ryotabu,unknown,none
S.Black Boi,unknown,none
SACHI,Group,musicbrainz
SAINt JHN,hip hop,musicbrainz
SDDSBHASP,unknown,none
SOPHIE,voice actor,musicbrainz
SWAVAY,Person,musicbrainz
SZA,electronic,musicbrainz
Sabrina Carpenter,pop,musicbrainz
SadBois,rocktronic,musicbrainz
Saintboy,unknown,none
Sampha,hip hop soul,musicbrainz
Santigold,electronic,musicbrainz
Sara Bareilles,pop rock,musicbrainz
Sauce Walka,hip hop,musicbrainz
Saul Williams,alternative hip hop,musicbrainz
ScHoolboy Q,hip hop,musicbrainz
Scott Disick,unknown,none
Scratch (Hip-Hop),unknown,none
Seal,downtempo,musicbrainz
Seamus Begley,irish folk,musicbrainz
Sean Lennon,Person,musicbrainz
Sean Leon,Person,musicbrainz
Sean Paul,pop,musicbrainz
Seazyn,unknown,none
Selena Gomez,rock,musicbrainz
Selita Ebanks,unknown,none
Seth Meyers,comedian,musicbrainz
Sexyy Red,rap,musicbrainz
Seán Potts,Person,musicbrainz
Sharon Van Etten,folk,musicbrainz
Shawnna,hip hop,musicbrainz
Sheck Wes,trap,musicbrainz
Shellback,Person,musicbrainz
Shenseea,dancehall,musicbrainz
Shire Sha-ray,unknown,none
Shir’e,unknown,none
Sia,downtempo,musicbrainz
Sierra Ferrell,singer-songwriter,musicbrainz
Sinéad O’Connor,rock,musicbrainz
Sissel,folk pop,musicbrainz
Skepta,house,musicbrainz
Skrillex,rock,musicbrainz
Slum Village,hip hop,musicbrainz
Sly Polaroid,Person,musicbrainz
Smokepurpp,hip hop,musicbrainz
Snoop Dogg,rap,musicbrainz
Solar Tha Rightchus,unknown,none
Son Lux,experimental,musicbrainz
Sophia Fresh,Person,musicbrainz
Sophie Calle,Person,musicbrainz
Soulja Boy,rap,musicbrainz
Southside,hip hop,musicbrainz
Spaceface,Group,musicbrainz
Spaghetti_6,unknown,none
Spuf Don,unknown,none
St. Vincent,electronic,musicbrainz
Stack Bundles,hip hop,musicbrainz
Stalone,Person,musicbrainz
Stardeath And White Dwarfs,Group,musicbrainz
Stat Quo,hip hop,musicbrainz
Steve Burns,Person,musicbrainz
Steve Lacy,jazz,musicbrainz
Steve McQueen,Group,musicbrainz
Steve “ESPO” Powers,unknown,none
Stevie Wonder,pop,musicbrainz
Sting,rock,musicbrainz
Stone Mecca,Person,musicbrainz
Strick,hip hop,musicbrainz
Stromae,electropop,musicbrainz
Stwo,electronic,musicbrainz
Styles P,hip hop,musicbrainz
Sufjan Stevens,alternative rock,musicbrainz
Sugarland,country,musicbrainz
Summer Walker,rap,musicbrainz
Sunbears!,Group,musicbrainz
Sunday Service Choir,Group,musicbrainz
Supershirt,Group,musicbrainz
Surf Club,pop,musicbrainz
Swae Lee,hip hop,musicbrainz
Sway in the Morning,unknown,none
Swizz Beatz,hip hop,musicbrainz
Syd,rock,musicbrainz
Syleena Johnson,contemporary r&b,musicbrainz
T-Pain,pop,musicbrainz
T.I.,rap,musicbrainz
TBHits,Person,musicbrainz
TGOD808,unknown,none
THE DIAMONDS ARE BLACK!,Person,musicbrainz
TIME Magazine,unknown,none
TJANI,unknown,none
TOBACCO,experimental hip hop,musicbrainz
Takeoff,hip hop,musicbrainz
Talib Kweli,rap,musicbrainz
Tame Impala,synthpop,musicbrainz
Taylor Swift,pop,musicbrainz
Teddybears,Group,musicbrainz
Tee Grizzley,hip hop,musicbrainz
Teefa,Person,musicbrainz
Teezo Touchdown,hip hop,musicbrainz
Tegan and Sara,alternative rock,musicbrainz
Tenoutoftenmiddlepart,unknown,none
Teriyaki Boyz,Group,musicbrainz
Termanology,hip hop,musicbrainz
Terrace Martin,hip hop,musicbrainz
Teyana Taylor,Person,musicbrainz
The 1975,rock,musicbrainz
The Autumn Defense,Group,musicbrainz
The Belfast Harp Orchestra,unknown,none
The Boys Choir of Harlem,Choir,musicbrainz
The Breakfast Club (Power 105.1),unknown,none
The Chemical Brothers,trip-hop,musicbrainz
The Chicks,folk,musicbrainz
The Chieftains,irish,musicbrainz
The Civil Wars,americana,musicbrainz
The Cleveland Show,unknown,none
The Corrs,rock,musicbrainz
The Decemberists,rock,musicbrainz
The Del McCoury Band,folk,musicbrainz
The Ennis Sisters,unknown,none
The FADER,unknown,none
The Flaming Lips,rock,musicbrainz
The Game,rap,musicbrainz
The LOX,hip hop,musicbrainz
The Lonely Island,comedy hip hop,musicbrainz
The Low Anthem,Group,musicbrainz
The Lumineers,folk,musicbrainz
The Madd Rapper,hip hop,musicbrainz
The National,alternative rock,musicbrainz
The Pastelle Collective (Yedits),unknown,none
The Rankin Family,folk,musicbrainz
The Renaissance Singers,Group,musicbrainz
The Rolling Stones,rock,musicbrainz
The Secret Sisters,country folk,musicbrainz
The War and Treaty,country soul,musicbrainz
The Weeknd,pop,musicbrainz
The World Famous Tony Williams,unknown,none
The Zandigo,unknown,none
The-Dream,songwriter,musicbrainz
TheNightAftr,Person,musicbrainz
Theodore Shapiro,film composer,musicbrainz
Theophilus London,r&b alternative,musicbrainz
There I Ruined It,mashup,musicbrainz
Thievery Corporation,trip-hop,musicbrainz
Thirty Seconds to Mars,rock,musicbrainz
Thi’sl,christian rap,musicbrainz
Thomas Powers,unknown,none
Tim McGraw,country,musicbrainz
Tim O’Brien,folk,musicbrainz
Timmy G,Person,musicbrainz
Timothée Chalamet,Person,musicbrainz
Tinashe,pop,musicbrainz
Tobias Jesso Jr.,indie pop,musicbrainz
Tom Jones,pop,musicbrainz
Tony Famous,unknown,none
Toro y Moi,electronic,musicbrainz
Trace Adkins,country,musicbrainz
Trae tha Truth,unknown,none
Trav,Person,musicbrainz
Travis Scott,rap,musicbrainz
TrayDaySADD,unknown,none
Treasure Mammal,Group,musicbrainz
Treated Crew,unknown,none
Trick Daddy,hip hop,musicbrainz
Trinidad James,hip hop,musicbrainz
Trip Lee,Person,musicbrainz
Triple-Q,mashup,musicbrainz
Trippie Redd,hip hop,musicbrainz
Twin Shadow,chillwave,musicbrainz
Twista,rap,musicbrainz
Ty Dolla $ign,rap,musicbrainz
Tyga,rap,musicbrainz
"Tyler, The Creator",hip hop,musicbrainz
Tyrone Lebon,Person,musicbrainz
Tōth,Person,musicbrainz
USHER,pop,musicbrainz
Ultravox,synthpop,musicbrainz
VIC MENSA,hip hop,musicbrainz
VRITRA,Person,musicbrainz
Vado,hip hop,musicbrainz
Vampire Weekend,rock,musicbrainz
Van Dyke Parks,Person,musicbrainz
Van Lathan,unknown,none
Van Morrison,rock,musicbrainz
Vanessa Elisha,unknown,none
Velvet Negroni,Person,musicbrainz
Vessels,rock,musicbrainz
Victory,heavy metal,musicbrainz
Vince Gill,bluegrass,musicbrainz
Vince Staples,hip hop,musicbrainz
Vogue,funk rock,musicbrainz
Vory,Person,musicbrainz
W Magazine,unknown,none
WYATTbeats,unknown,none
Wale,east coast hip hop,musicbrainz
Wall Street Journal,unknown,none
Wallie the Sensei,Person,musicbrainz
Watchhouse,folk,musicbrainz
Westside Gunn,hip hop,musicbrainz
White Boy (USA),unknown,none
Will in the Sky,unknown,none
Willie Nelson,rock,musicbrainz
Wim “The Iceman” Hof,unknown,none
Wiz Khalifa,rap,musicbrainz
Wocklations,unknown,none
Wolfgang Tillmans,indie,musicbrainz
XXL,Group,musicbrainz
XXXTENTACION,rap,musicbrainz
YNW Melly,pop rap,musicbrainz
Yasiin Bey,hip-hop,musicbrainz
Ye,synthpop,musicbrainz
Yeat,trap,musicbrainz
Yebba,electronic,musicbrainz
Yeezy Travis,unknown,none
Yo Gotti,hip hop,musicbrainz
Yoko Ono,rock,musicbrainz
Young Gunz,hip-hop,musicbrainz
Young Moose,unknown,none
Young Stoner Life,Group,musicbrainz
Young Thug,rap,musicbrainz
Yung Joc,hip hop,musicbrainz
Yung Lean,hip hop,musicbrainz
Yung Vex,Person,musicbrainz
Za Za Binks,unknown,none
Zacari,hip hop,musicbrainz
Zach Bryan,country,musicbrainz
Zachariah E.M. Moffatt,unknown,none
Zack Villere,bedroom pop,musicbrainz
Zane Lowe,Person,musicbrainz
Zix (ESP),unknown,none
Zoey Dollaz,Person,musicbrainz
Zorch,Group,musicbrainz
Zzeta Crew,unknown,none
billy woods,hip hop,musicbrainz
blackbear,pop rap,musicbrainz
denny likes squirls,unknown,none
inc. no world,Group,musicbrainz
k-os,rock,musicbrainz
kaishaku.ninja,unknown,none
never (neverend666),unknown,none
papa mbye,Person,musicbrainz
salute,electronic,musicbrainz
serpentwithfeet,alternative r&b,musicbrainz
slowthai,hip hop,musicbrainz
will.i.am,hip hop,musicbrainz
"¥$, Kanye West & Ty Dolla $ign",unknown,none
吴亦凡 (Kris Wu),unknown,none
矢野顕子 (Akiko Yano),unknown,none
