track_title,album,release_year,song_id,genius_url,source_artist,target_artist,role
As One,,2002.0,24502,https://genius.com/Jay-z-as-one-lyrics,JAŸ-Z,Freeway,featured
Ashes To Ashes,,2011.0,50080,https://genius.com/The-game-ashes-to-ashes-lyrics,The Game,Rick Ross,featured
Ashes [V1],,,13105581,https://genius.com/Kanye-west-ashes-v1-lyrics,Kanye West,Sunday Service Choir,featured
Ashes [V1],,,13105581,https://genius.com/Kanye-west-ashes-v1-lyrics,Kanye West,Terrace Martin,featured
Ashes in the Air,,2013.0,69630,https://genius.com/The-flaming-lips-ashes-in-the-air-lyrics,The Flaming Lips,Bon Iver,featured
Ass Shots,,,2925061,https://genius.com/French-montana-ass-shots-lyrics,French Montana,Cam’ron,featured
Ass Shots,,,2925061,https://genius.com/French-montana-ass-shots-lyrics,French Montana,Kanye West,featured
Assassin Beetle / The Dream Is Ending,,2013.0,7220842,https://genius.com/The-flaming-lips-assassin-beetle-the-dream-is-ending-lyrics,The Flaming Lips,New Fumes,featured
Assassin Beetle / The Dream Is Ending,,2013.0,7220842,https://genius.com/The-flaming-lips-assassin-beetle-the-dream-is-ending-lyrics,The Flaming Lips,Stardeath And White Dwarfs,featured
Aston Martin Music,,2010.0,765,https://genius.com/Rick-ross-aston-martin-music-lyrics,Rick Ross,Drake,featured
Aston Martin Music (Extended Mix),,2010.0,76564,https://genius.com/Rick-ross-aston-martin-music-extended-mix-lyrics,Rick Ross,Drake,featured
Astro,,2012.0,91381,https://genius.com/Mellowhype-astro-lyrics,MellowHype,Frank Ocean,featured
Audio Meth,,2010.0,40245,https://genius.com/Rick-ross-audio-meth-lyrics,Rick Ross,Raekwon,featured
Auntie Fee Interview,,2016.0,10350878,https://genius.com/Frank-ocean-auntie-fee-interview-annotated,Frank Ocean,Auntie Fee,featured
Awesome,,,8434447,https://genius.com/Kanye-west-awesome-lyrics,Kanye West,Charlie Wilson,featured
Awesome,,,8434447,https://genius.com/Kanye-west-awesome-lyrics,Kanye West,Ty Dolla $ign,featured
Aye,,2023.0,6490368,https://genius.com/Lil-uzi-vert-aye-lyrics,Lil Uzi Vert,Travis Scott,featured
Ayyy Girl,,2010.0,6242,https://genius.com/Jyj-ayyy-girl-lyrics,JYJ,Kanye West,featured
Ayyy Girl,,2010.0,6242,https://genius.com/Jyj-ayyy-girl-lyrics,JYJ,Malik Yusef,featured
B.L.O.W. (Block Life Is Our Way),,2007.0,413145,https://genius.com/Rick-ross-blow-block-life-is-our-way-lyrics,Rick Ross,Clipse,featured
B.L.O.W. (Block Life Is Our Way),,2007.0,413145,https://genius.com/Rick-ross-blow-block-life-is-our-way-lyrics,Rick Ross,Om’Mas Keith,featured
B.M.F. (Blowin’ Money Fast),,2010.0,844,https://genius.com/Rick-ross-bmf-blowin-money-fast-lyrics,Rick Ross,Styles P,featured
BACK TO ME,,2024.0,9582304,https://genius.com/Kanye-west-and-ty-dolla-sign-back-to-me-lyrics,"¥$, Kanye West & Ty Dolla $ign",Freddie Gibbs,featured
BACK TO ME (DeRay Davis Reference),,,13254729,https://genius.com/Kanye-west-and-ty-dolla-sign-back-to-me-deray-davis-reference-lyrics,"¥$, Kanye West & Ty Dolla $ign",DeRay Davis,featured
BACK TO ME (DeRay Davis Reference),,,13254729,https://genius.com/Kanye-west-and-ty-dolla-sign-back-to-me-deray-davis-reference-lyrics,"¥$, Kanye West & Ty Dolla $ign",Freddie Gibbs,featured
BACK TO ME (Original),,,9885015,https://genius.com/Kanye-west-and-ty-dolla-sign-back-to-me-original-lyrics,"¥$, Kanye West & Ty Dolla $ign",Freddie Gibbs,featured
